CustomerID,Country,InvoiceNo,InvoiceDate,Quantity,UnitPrice,Amount,CumulativeAmount
17850,"United Kingdom",536365,"2010-12-01 08:26:00",6,2.55,15.299999999999999,15.299999999999999
17850,"United Kingdom",536365,"2010-12-01 08:26:00",6,3.39,20.34,35.64
17850,"United Kingdom",536365,"2010-12-01 08:26:00",8,2.75,22,57.64
17850,"United Kingdom",536365,"2010-12-01 08:26:00",6,3.39,20.34,77.98
17850,"United Kingdom",536365,"2010-12-01 08:26:00",6,3.39,20.34,98.32000000000001
17850,"United Kingdom",536365,"2010-12-01 08:26:00",2,7.65,15.3,113.62
17850,"United Kingdom",536365,"2010-12-01 08:26:00",6,4.25,25.5,139.12
17850,"United Kingdom",536366,"2010-12-01 08:28:00",6,1.85,11.100000000000001,150.22
17850,"United Kingdom",536366,"2010-12-01 08:28:00",6,1.85,11.100000000000001,161.32
13047,"United Kingdom",536367,"2010-12-01 08:34:00",32,1.69,54.08,54.08
13047,"United Kingdom",536367,"2010-12-01 08:34:00",6,2.1,12.600000000000001,66.68
13047,"United Kingdom",536367,"2010-12-01 08:34:00",6,2.1,12.600000000000001,79.28
13047,"United Kingdom",536367,"2010-12-01 08:34:00",8,3.75,30,109.28
13047,"United Kingdom",536367,"2010-12-01 08:34:00",6,1.65,9.899999999999999,119.18
13047,"United Kingdom",536367,"2010-12-01 08:34:00",6,4.25,25.5,144.68
13047,"United Kingdom",536367,"2010-12-01 08:34:00",3,4.95,14.850000000000001,159.53
13047,"United Kingdom",536367,"2010-12-01 08:34:00",2,9.95,19.9,179.43
13047,"United Kingdom",536367,"2010-12-01 08:34:00",3,5.95,17.85,197.28
13047,"United Kingdom",536367,"2010-12-01 08:34:00",3,5.95,17.85,215.13
13047,"United Kingdom",536367,"2010-12-01 08:34:00",4,7.95,31.8,246.93
13047,"United Kingdom",536367,"2010-12-01 08:34:00",4,7.95,31.8,278.73
13047,"United Kingdom",536368,"2010-12-01 08:34:00",6,4.25,25.5,304.23
13047,"United Kingdom",536368,"2010-12-01 08:34:00",3,4.95,14.850000000000001,319.08000000000004
13047,"United Kingdom",536368,"2010-12-01 08:34:00",3,4.95,14.850000000000001,333.93000000000006
13047,"United Kingdom",536368,"2010-12-01 08:34:00",3,4.95,14.850000000000001,348.7800000000001
13047,"United Kingdom",536369,"2010-12-01 08:35:00",3,5.95,17.85,366.6300000000001
12583,France,536370,"2010-12-01 08:45:00",24,3.75,90,90
12583,France,536370,"2010-12-01 08:45:00",24,3.75,90,180
12583,France,536370,"2010-12-01 08:45:00",12,3.75,45,225
12583,France,536370,"2010-12-01 08:45:00",12,0.85,10.2,235.2
12583,France,536370,"2010-12-01 08:45:00",24,0.65,15.600000000000001,250.79999999999998
12583,France,536370,"2010-12-01 08:45:00",48,0.85,40.8,291.59999999999997
12583,France,536370,"2010-12-01 08:45:00",24,1.25,30,321.59999999999997
12583,France,536370,"2010-12-01 08:45:00",18,2.95,53.1,374.7
12583,France,536370,"2010-12-01 08:45:00",24,2.95,70.80000000000001,445.5
12583,France,536370,"2010-12-01 08:45:00",24,1.95,46.8,492.3
12583,France,536370,"2010-12-01 08:45:00",24,1.95,46.8,539.1
12583,France,536370,"2010-12-01 08:45:00",24,1.95,46.8,585.9
12583,France,536370,"2010-12-01 08:45:00",20,0.85,17,602.9
12583,France,536370,"2010-12-01 08:45:00",24,1.65,39.599999999999994,642.5
12583,France,536370,"2010-12-01 08:45:00",24,2.95,70.80000000000001,713.3
12583,France,536370,"2010-12-01 08:45:00",12,3.75,45,758.3
12583,France,536370,"2010-12-01 08:45:00",24,0.42,10.08,768.38
12583,France,536370,"2010-12-01 08:45:00",24,0.42,10.08,778.46
12583,France,536370,"2010-12-01 08:45:00",36,0.65,23.400000000000002,801.86
12583,France,536370,"2010-12-01 08:45:00",3,18,54,855.86
13748,"United Kingdom",536371,"2010-12-01 09:00:00",80,2.55,204,204
17850,"United Kingdom",536372,"2010-12-01 09:01:00",6,1.85,11.100000000000001,172.42
17850,"United Kingdom",536372,"2010-12-01 09:01:00",6,1.85,11.100000000000001,183.51999999999998
17850,"United Kingdom",536373,"2010-12-01 09:02:00",6,2.55,15.299999999999999,198.82
17850,"United Kingdom",536373,"2010-12-01 09:02:00",6,3.39,20.34,219.16
17850,"United Kingdom",536373,"2010-12-01 09:02:00",8,2.75,22,241.16
17850,"United Kingdom",536373,"2010-12-01 09:02:00",6,4.95,29.700000000000003,270.86
17850,"United Kingdom",536373,"2010-12-01 09:02:00",6,1.06,6.36,277.22
17850,"United Kingdom",536373,"2010-12-01 09:02:00",6,1.06,6.36,283.58000000000004
17850,"United Kingdom",536373,"2010-12-01 09:02:00",6,1.06,6.36,289.94000000000005
17850,"United Kingdom",536373,"2010-12-01 09:02:00",6,1.06,6.36,296.30000000000007
17850,"United Kingdom",536373,"2010-12-01 09:02:00",2,4.95,9.9,306.20000000000005
17850,"United Kingdom",536373,"2010-12-01 09:02:00",4,6.95,27.8,334.00000000000006
17850,"United Kingdom",536373,"2010-12-01 09:02:00",6,2.1,12.600000000000001,346.6000000000001
17850,"United Kingdom",536373,"2010-12-01 09:02:00",6,2.55,15.299999999999999,361.9000000000001
17850,"United Kingdom",536373,"2010-12-01 09:02:00",6,3.39,20.34,382.24000000000007
17850,"United Kingdom",536373,"2010-12-01 09:02:00",6,3.39,20.34,402.58000000000004
17850,"United Kingdom",536373,"2010-12-01 09:02:00",2,7.65,15.3,417.88000000000005
17850,"United Kingdom",536373,"2010-12-01 09:02:00",6,4.25,25.5,443.38000000000005
15100,"United Kingdom",536374,"2010-12-01 09:09:00",32,10.95,350.4,350.4
15291,"United Kingdom",536376,"2010-12-01 09:32:00",48,3.45,165.60000000000002,165.60000000000002
15291,"United Kingdom",536376,"2010-12-01 09:32:00",64,2.55,163.2,328.8
